id,Interactable Name,NPC Name,Conv Name,Interaction Type,Is Interactable,Print Debug,Skip Req Hide,Skip Req Reveal,Start Visible,Magic Required,Reserved Column1,Reserved Column2,Event Destroy,Event Destroy Group,Event Change,Event Hide,Event Reveal,Event Send,Event Lose Combat,Reserved Column4,Event And1,Event And2,Event And3,Event Or1,Event Or2,Event Or3,Earth Allowed1,Earth Allowed2,Air Allowed1,Air Allowed2,Water Allowed1,Water Allowed2,Fire Allowed1,Fire Allowed2,Void Allowed1,Void Allowed2,Child Parameter1,Child Parameter2,Child Parameter3,Child Parameter4,Child Parameter5,Child Parameter6,Loaded
1,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,test_row,
2,mist_eastern_mountains,mist_eastern_mountains,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,eastern_mountains,default,fishing_village,zzzz,,
3,mist_fishing_village,mist_fishing_village,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,fishing_village,eastern_mountains,zzz,zzzz,,
4,mist_river_village,mist_river_village,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,river_village,default,zzz,zzzz,,
5,environment_settings_area1,environment_settings_area1,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
6,fishing_camera_cue1,fishing_camera_cue1,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,fishing_camera_cue2,,,,fishing_camera_cue1,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,FALSE,FALSE,FALSE,
7,fishing_camera_cue2,fishing_camera_cue2,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,fishing_camera_cue3,,,,fishing_camera_cue2,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,FALSE,FALSE,FALSE,
8,fishing_camera_cue3,fishing_camera_cue3,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,Tutorial_Cue_Outside_FV1,,,,fishing_camera_cue3,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,1,FALSE,FALSE,FALSE,
9,fire_signal_object1,fire_signal_object1,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,fire_signal_destroy,,,,fire_signal_repeat1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,fire_signal_object4,fire_signal_object4,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,fire_signal_destroy,,,,fire_signal_repeat4,,,,,,,,,,,,,,,,,,,,,,,,,,
