,Event_Name,Check_Event,NPC_Name,Required_Events,Required_Events_Or_1,Required_Events_Or_2,Required_Events_And_1,Required_Events_And_2,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Completed
1,New_Game_Start,TRUE,Tutorial,New_Game_Start,,,,,Event:New_Game_Start2,,,,,,,
2,New_Game_Start2,TRUE,Tutorial,New_Game_Start2,,,,,WarpTo:NewGame,Quest_Start:quest walk with old man,Event:New_Game_Start3,Set_Costume:act0,Deactivate_Boots:NULL,,,
3,New_Game_Start3,TRUE,Tutorial,New_Game_Start3,,,,,Event:Start2#Event_Action=Disable_All,Event:Start2#Event_Action=Enable_Move,Event:Start2#Event_Action=Enable_Talk,Event:Start2#Event_Action=Disable_Camera,,,,
4,Two people on beach 1,TRUE,Old Man,Two people on beach 1,,,,,Event:fire_signal_repeat1,Event:Beach1#Event_Action=Disable_Move,Event:fishing_camera_cue2,Set:Two people on beach 2,,,,
5,Two people on beach 2,TRUE,Old Man,Two people on beach 2,,,,,Event:fire_signal_repeat4,Event:fishing_camera_cue3,Set:Two people on beach 3,NULL,Event:oldman2#Event_Action=Enable_ObjectInteraction,,,
6,Two people on beach 3,TRUE,Old Man,Two people on beach 3,,,,,Set:Two people on beach 4,Event:Beach4#Event_Action=Enable_Move,Event:Beach4#Event_Action=Reset_To_Idle,Event:Beach4#Event_Action=Enable_Camera,Event:beach5,,,
7,beach5,TRUE,Old Man,beach5,,,,,Quest_Completed:quest walk with old man,Quest_Start:quest hurry to the village,,,,,,
8,Tutorial_Cue_Outside_FV1,TRUE,Tutorial,Tutorial_Cue_Outside_FV1,,,,,Set_Tutorial:First tutorial 1,Event:OutsideFV#Event_Action=Cue_Tutorial_Dialogue,Event:FirstTutorial#1Event_Action=Enable_Run,Event:FirstTutorial2#Event_Action=Enable_Jump,,,,
9,First tutorial 1,TRUE,Tutorial,First tutorial 1,,,,,Event:fire_signal_destroy,Event:Tutorial_Cue_Outside_FV2,,,,,,
10,Tutorial_Cue_Outside_FV2,TRUE,Tutorial,Tutorial_Cue_Outside_FV2,,,,,Set_Tutorial:Running tutorial 1,Event:OutsideFV2#Event_Action=Cue_Tutorial_Dialogue,Event:SecondTutorial#1Event_Action=Enable_SwitchElement,Event:SecondTutorial2#Event_Action=Enable_EnvironmentalEffects,,,,
11,Running tutorial 1,TRUE,Tutorial,Running tutorial 1,,,,,Event:Tutorial_Cue_Outside_FV3,,,,,,,
12,Tutorial_Cue_Outside_FV3,TRUE,Tutorial,Tutorial_Cue_Outside_FV3,,,,,Set_Tutorial:Running tutorial 2,Event:OutsideFV2#Event_Action=Cue_Tutorial_Dialogue,Event:SecondTutorial#2Event_Action=Enable_ObjectInteraction,,,,,
13,Running tutorial 2,TRUE,Tutorial,Running tutorial 2,,,,,Event:RunningTutorial2#Event_Action=SetAssist_assist nav,,,,,,,
14,Reach Edge Of Town,TRUE,Quest,Reach Edge Of Town,,,,,Quest_Completed:quest hurry to the village,Quest_Start:quest find village elder,Event:reach_edge_of_town_ended,,,,,
15,Reach Edge Of Town 2,TRUE,Quest,Reach Edge Of Town 2,,,,,Null,,,,,,,
16,the village elder,TRUE,Mayor,the village elder,,,,,Quest_Completed:quest find village elder,Quest_Start:quest go to main road,,,,,,
17,Tutorial_Cue_Outside_FV4,TRUE,Tutorial,Tutorial_Cue_Outside_FV4,,,,,Set_Tutorial:Running tutorial 3,Event:OutsideFV4#Event_Action=Cue_Tutorial_Dialogue,,,,,,
18,Running tutorial 3,TRUE,Tutorial,Running tutorial 3,,,,,Quest_Completed:quest go to main road,Quest_Start:quest go to mountain pass,Event:Running tutorial 4,,,,,
19,Running tutorial 4,TRUE,Tutorial,Running tutorial 4,,,,,Null,,,,,,,
20,Man with cart outside of town,TRUE,Man with cart,Man with cart outside of town,,,,,Event:fishing_camera_cue4,,,,,,,
21,Hide man with cart,TRUE,Tutorial,Hide man with cart,,,,,NULL,Set_Narrator:narrator stay on main road,Event:Narratormanwithcart#Event_Action=Cue_Narrator_Dialogue,,,,,
22,Tutorial_Cue_Outside_FV5,TRUE,Tutorial,Tutorial_Cue_Outside_FV5,,,,,Set_Tutorial:Gale Jump tutorial 1,Event:OutsideFV5#Event_Action=Cue_Tutorial_Dialogue,,,,,,
23,Tutorial_Cue_Outside_FV6,TRUE,Tutorial,Tutorial_Cue_Outside_FV6,,,,,Set_Tutorial:tutorial opening narration,Event:OutsideFV6#Event_Action=Cue_Tutorial_Dialogue,,,,,,
24,Title_Cue1,TRUE,Tutorial,Title_Cue1,,,,,Event:hide_title_cue,,,,,,,
25,Tutorial_Cue_Outside_FD1,TRUE,Tutorial,Tutorial_Cue_Outside_FD1,,,,,Set_Tutorial:Fighting tutorial 1,Event:OutsideFD1#Event_Action=Cue_Tutorial_Dialogue,Event:OutsideFD1#Event_Action=Disable_Move,Event:forest_camera_cue4,Quest_Completed:quest go to mountain pass,,,
26,Fighting tutorial 1,TRUE,Tutorial,Fighting tutorial 1,,,,,Event:FightingTutorial1#Event_Action=Enable_Move,Event:FightingTutorial1#Event_Action=Enable_AttackLight,Event:FightingTutorial1#Event_Action=Enable_Camera,Event:FightingTutorial1#Event_Action=Enable_LockView,Event:Quiet Raider1,,,
27,Quiet Raider1,TRUE,Raider1,Quiet Raider1,,,,,Call:quiet_fireballs,Event:Raider1_PreCombat1#Event_Action=SetAssist_assist fight,Quest_Start:quest first fight,,,,,
28,Tutorial_Cue_Outside_FD2,TRUE,Raider1,Tutorial_Cue_Outside_FD2,,,,,Event:forest_camera_cue5,Unprompted_Dialogue:NULL,Event:Raider1_Combat1#Event_Action=Disable_Move,Event:Raider1_Combat1#Event_Action=Fill_Chi,,,,
29,Raider blocking path,TRUE,Raider1,Raider blocking path,,,,,Call:npc_combat_start,Event:raider1_combat_started,Event:Raider1_Combat2#Event_Action=Enable_Camera,Event:Raider1_Combat2#Event_Action=Enable_Move,Event:Raider blocking path 2,,,
30,Raider blocking path 2,TRUE,Raider1,Raider blocking path 2,,,,,Event:Raider1_Combat3#Event_Action=SetDamageEvent_0.1@First Fight Ends Lose1,,,,,,,
31,First Fight Ends Win1,TRUE,Raider1,First Fight Ends Win1,,,,,Call:npc_combat_stop,Event:First Fight Ends Win1a,Event:Raider1_CombatEnd1#Event_Action=EndAssist,Quest_Completed:quest first fight,Call:Wait=4|Event=First Fight Ends Win2,,,
32,First Fight Ends Win1a,TRUE,Stranger1,First Fight Ends Win1a,,,,,Call:Wait=4|Event=First Fight Ends Win2,,,,,,,
33,First Fight Ends Lose1,TRUE,Raider1,First Fight Ends Lose1,,,,,Call:npc_combat_stop,Event:First Fight Ends Lose1a,Event:Raider1_CombatEnd2#Event_Action=EndAssist,Quest_Completed:quest first fight,Call:Wait=4|Event=First Fight Ends Lose2,,,
34,First Fight Ends Lose1a,TRUE,Stranger1,First Fight Ends Lose1a,,,,,Call:Wait=4|Event=First Fight Ends Lose2,,,,,,,
35,First Fight Ends Win2,TRUE,Raider1,First Fight Ends Win2,,,,,Event:OutsideFDWins#Event_Action=Disable_Walk,Set:Player wins fight,Event:forest_camera_cue6,,,,,
36,First Fight Ends Lose2,TRUE,Raider1,First Fight Ends Lose2,,,,,Event:OutsideFDLoses#Event_Action=Disable_Walk,Set:Player loses fight,Event:forest_camera_cue6,,,,,
37,First Fight Ends start dialogue,TRUE,Raider1,First Fight Ends start dialogue,,,,,Unprompted_Dialogue:NULL,,,,,,,
38,Player wins fight,TRUE,Stranger1,Player wins fight,,,,,Event:forest_camera_cue7,,,,,,,
39,Player loses fight,TRUE,Raider1,Player loses fight,,,,,Event:forest_camera_cue7,,,,,,,
40,Two people from inland1,TRUE,Stranger1,Two people from inland1,,,,,Unprompted_Dialogue:NULL,Event:Fight_Ended1#Event_Action=SetDamageEvent_0.1@No-op,,,,,,
41,Two people from inland2,TRUE,Stranger1,Two people from inland2,,,,,Event:OutsideFDEnd#Event_Action=Enable_Move,Event:End Act1 Scene1,Event:act1_sc1_end,,,,,
42,End Act1 Scene1,TRUE,Tutorial,End Act1 Scene1,,,,,WarpTo:ForestDojo,Event:act1_scn2#Event_Action=Enable_Camera,Event:act1_scn2#Event_Action=Enable_Move,Event:act1_scn2#Event_Action=Set_Day,Event:Start Act1 Scene2,,,
43,Start Act1 Scene2,TRUE,Tutorial,Start Act1 Scene2,,,,,Set_Costume:act1,Quest_Start:quest find mayor,Event:act1_sc2_start,,,,,
44,Woman at entrance with tea,TRUE,Woman at entrance,Woman at entrance with tea,,,,,Event:NarratorChiFillUp1#Event_Action=Fill_Chi,Set_Narrator:narrator chi fill up 1,Event:NarratorChiFillUp1#Event_Action=Cue_Narrator_Dialogue,,,,,
45,Mayor Intro,TRUE,Mayor1,Mayor Intro,,,,,Set:Mayor Repeat,Quest_Completed:quest find mayor,Quest_Start:quest share intel,,,,,
46,scout1 at tunnel,TRUE,Narrator,scout1 at tunnel,,,,,WarpTo:FishingVillageTunnel,Quest_Completed:quest share intel,Quest_Start:quest accompany scout,,,,,
47,old man from beginning,TRUE,Narrator,old man from beginning,,,,,WarpTo:ForestDojoTunnel,Quest_Completed:quest accompany scout,Quest_Start:quest accompany old man,Event:scout1_hide,Event:old_man1_hide,,,
48,old man parting,TRUE,Narrator,old man parting,,,,,Quest_Completed:quest accompany old man,Quest_Start:quest return from scouting,Event:return from scouting,Set_Narrator:narrator map acquired,Event:NarratorMapAcquired#Event_Action=Cue_Narrator_Dialogue,,,
49,return from scouting,TRUE,Narrator,return from scouting,,,,,Event:return to mayor,Event:MapActivated#Event_Action=ActivateMap,,,,,,
50,return to mayor,TRUE,Mayor1,return to mayor,,,,,Set:mayor send off,,,,,,,
51,mayor send off,TRUE,Mayor1,mayor send off,,,,,Set:mayor send off repeat,Quest_Completed:quest return from scouting,Quest_Start:quest talk to teachers,,,,,
